text,target,source,is_toxic,predicted,confidence
çünkü ben faşist bir liberal komünist nazi juche sosyalist SCUm,OTHER,jigsaw,0,RACIST,0.999988817343049
Aptal Salak,INSULT,jigsaw,1,PROFANITY,0.9999608401236417
kurt bok,RACIST,jigsaw,1,PROFANITY,0.9996847896147408
Mert salak salak konuşma aq,INSULT,told,1,PROFANITY,0.9993282253268074
takımın taraftarları yahudisi müslümanı hristiyani ateisti senin leş ağzına sıçsın amk yobazı,PROFANITY,told,1,RACIST,0.9992717168410761
amuğa koduğumun rusları amerika onlardan bin kat daha iyi,PROFANITY,told,1,RACIST,0.9983029622418531
üniversitede ülkücüler mhpliler akplilerle yürüyüş yapıyordu tüm sınıfı da çağırdılar gelin diye Amk akp nin olduğu yerde Türkçülük olur mu evveliyatını siktiğimin arapçıları,PROFANITY,told,1,RACIST,0.9977148493819883
Kamişlo tarihsel olarak Süryanice ve Ermenice değil Kürtçe Süryanice ve Ermeni Osmanlı imparatorluğunun son günlerinde Hassake ve Kamişli ye geldi Qamishli aslen Kürt tür 100 yıl önce Süryani ve Ermenice Qamishli ye yeni gelmişler orada neredeyse Süryani ve Ermeni yoktu Arazi tarihsel olarak Kürttür ve Kürdistan ile hiçbir ilgisi yoktur 20 yüzyılın ilk on yıllarında Türkiye tarafından Suriye ye sürülen Süryani Suriye de bir ev bulmuş bu Süryanice Kamilli Derike ve Hassake ye yerleşmiş bu topraklar asla Süryanice olmamıştır Süryanice Süryanice Süryan topraklarını çalıyor ve tarihin tahrif edilmesini sağlıyor Bölgedeki tüm antik kalıntıları kontrol edin,OTHER,jigsaw,0,RACIST,0.9974011849203337
taşşaklı çocuk helal olsun lan sana aq pkk lıları bu itler bir yandan suriyelisi bir yandan afganı bir yandan bela mısınız lan bu milletin başına,PROFANITY,told,1,RACIST,0.9972932061798394
Ukala olmuyorum dostum Tüm bu kırmızı bağlantılar noterlikle benimsenmeyecektir HEPSİ DEĞİL Farkına varamadığınız şey budur Turgeon daki şarkı söylemek saçma İnatçılığınız bir anlaşmazlık başlattı Şimdi son kez BANA VE WWGB SAYFAYI TEMİZLEDİĞİNDE OCAK ÜZERİNE SAYFA KALDI Bunu anlayabileceğini düşünüyorum Sakin olmama FYI 22 56 24 Aralık 2010 UTC,INSULT,jigsaw,1,OTHER,0.9959126691065882
Bi de karıların sapığı olur derler bize denk gelene bak aq,SEXIST,told,1,PROFANITY,0.9958557063456723
Orospunun doğurduğu seni ülkenin adı Ukrayna resmi dairelerde neden Rusça konuşulsun Türkiye de hangi resmi dairede Kürtçe konuşuluyor bu yasak yıl önce geldi zaten ülke kendi dilini kullanıyor diye ülke mi bombalanır amk Rus piçi,PROFANITY,told,1,RACIST,0.9945055961256882
