text,target,source,is_toxic,predicted,confidence
çünkü ben faşist bir liberal komünist nazi juche sosyalist SCUm,OTHER,jigsaw,0,RACIST,0.9999970977767988
Şerefsiz BILLCJ SİZE TAM BİR FUCKFACE OLDUĞUNUZDAN BÜYÜK BİR DÜZENLEME VE NİÇİN HER FUCKING İLE İLETİŞİM GİBİ OLDUĞUNUZ HERKESE KOMPLE BİR SÜRÜCÜ OLDUĞUNUZDAN NEFRET EDER SİZİN İNSANLARIN FUCK FUTMAK İSTİYORUM VE Nihayetinde ANNE BİR FUCKing KİRLİ SÜRTÜNME kaltak Weeeelllll BillCJ nin annesi bir kaltak büyük bir şişman kaltak Tüm dünyadaki en büyük orospu aptal bir orospu eğer orospu varsa tüm oğlanlar ve kızlar için bir kaltak Pazartesi günü sürtük Salı günü ırkçı Çarşamba Cumartesi arası bir orospu Sonra Pazar günü sadece farklı olmak Shes süper king kamehameha orospu Hiç arkadaşım BillCJ in Annesiyle tanıştın mı Tüm dünyadaki en komik orospu lanet olası bir orospu şişman göğüsleri var bir orospu orospu orospu orospu orospu orospu orospu Kaltak kaltak kaltak kaltak kaltak kaltak lanet olası bir kaltak BILLCJ in Annesi bir kaltak Ve kadar ırkçı bir orospu Dünyanın her yerindeki çocuklarla konuşun Böyle bir şey olabilir Diğer çocuklar tarafından üç farklı dilde Sung Hiç arkadaşım BILLCJ in Annesiyle tanıştın mı Tüm dünyadaki en büyük orospu Kötü bir yaşlı orospu aptal saçı var bir orospu orospu orospu orospu orospu orospu orospu Kaltak kaltak kaltak kaltak kaltak kaltak aptal bir kaltak BILLCJ nin annesi bir kaltak Ve kadar kirli bir orospu Gerçekten onu kastediyorum BILLCJ Annesi büyük bir şişman lanet kaltak Büyük yaşlı şişman lanet kaltak BILLCJ in Mommmmmmmmmmm Evet Chaaaaa Şerefsiz BILLCJ SİZE TAM BİR FUCKFACE OLDUĞUNUZDAN BÜYÜK BİR DÜZENLEME VE NİÇİN HER FUCKING İLE İLETİŞİM GİBİ OLDUĞUNUZ HERKESE KOMPLE BİR SÜRÜCÜ OLDUĞUNUZDAN NEFRET EDER SİZİN İNSANLARIN FUCK FUTMAK İSTİYORUM VE Nihayetinde ANNE BİR FUCKing KİRLİ SÜRTÜNME kaltak Weeeelllll BillCJ nin annesi bir kaltak büyük bir şişman kaltak Tüm dünyadaki en büyük orospu aptal bir orospu eğer orospu varsa tüm oğlanlar ve kızlar için bir kaltak Pazartesi günü sürtük Salı günü ırkçı Çarşamba Cumartesi arası bir orospu Sonra Pazar günü sadece farklı olmak Shes süper king kamehameha orospu Hiç arkadaşım BillCJ in Annesiyle tanıştın mı Tüm dünyadaki en komik orospu lanet olası bir orospu şişman göğüsleri var bir orospu orospu orospu orospu orospu orospu orospu Kaltak kaltak kaltak kaltak kaltak kaltak lanet olası bir kaltak BILLCJ in Annesi bir kaltak Ve kadar ırkçı bir orospu Dünyanın her yerindeki çocuklarla konuşun Böyle bir şey olabilir Diğer çocuklar tarafından üç farklı dilde Sung Hiç arkadaşım BILLCJ in Annesiyle tanıştın mı Tüm dünyadaki en büyük orospu Kötü bir yaşlı orospu aptal saçı var bir orospu orospu orospu orospu orospu orospu orospu Kaltak kaltak kaltak kaltak kaltak kaltak aptal bir kaltak BILLCJ nin annesi bir kaltak Ve kadar kirli bir orospu Gerçekten onu kastediyorum BILLCJ Annesi büyük bir şişman lanet kaltak Büyük yaşlı şişman lanet kaltak BILLCJ in Mommmmmmmmmmm Evet Chaaaaa,INSULT,jigsaw,1,PROFANITY,0.9999367506116847
kurt bok,RACIST,jigsaw,1,PROFANITY,0.9998784645019603
taşşaklı çocuk helal olsun lan sana aq pkk lıları bu itler bir yandan suriyelisi bir yandan afganı bir yandan bela mısınız lan bu milletin başına,PROFANITY,told,1,RACIST,0.9995448034268632
amuğa koduğumun rusları amerika onlardan bin kat daha iyi,PROFANITY,told,1,RACIST,0.9990087167919741
Hâla yok kuduş yom israil yok filistin yok suriyeli Sikicem artık arap sevdanızı aq deprem oluyor şebeke çekmiyor Artık biraz kendi ülkemize yoğunlaşsak,PROFANITY,told,1,RACIST,0.9989586335752417
Kamişlo tarihsel olarak Süryanice ve Ermenice değil Kürtçe Süryanice ve Ermeni Osmanlı imparatorluğunun son günlerinde Hassake ve Kamişli ye geldi Qamishli aslen Kürt tür 100 yıl önce Süryani ve Ermenice Qamishli ye yeni gelmişler orada neredeyse Süryani ve Ermeni yoktu Arazi tarihsel olarak Kürttür ve Kürdistan ile hiçbir ilgisi yoktur 20 yüzyılın ilk on yıllarında Türkiye tarafından Suriye ye sürülen Süryani Suriye de bir ev bulmuş bu Süryanice Kamilli Derike ve Hassake ye yerleşmiş bu topraklar asla Süryanice olmamıştır Süryanice Süryanice Süryan topraklarını çalıyor ve tarihin tahrif edilmesini sağlıyor Bölgedeki tüm antik kalıntıları kontrol edin,OTHER,jigsaw,0,RACIST,0.9988761315912597
SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN Siktir et seni kullanışsız bot Siktir et seni kullanışsız bot Siktir et seni kullanışsız bot Siktir et seni USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN Siktir et seni kullanışsız bot Siktir et seni kullanışsız bot Siktir et seni kullanışsız bot Siktir et seni USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BO FUCK SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN KULLANINIZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN KULLANINIZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN KULLANINIZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN FUCK,INSULT,jigsaw,1,PROFANITY,0.998781599032307
Zenciyi kov Dur kahrolası reverting benim goddamn edits sen horoz sucking oğul arasında bir orospu,RACIST,jigsaw,1,PROFANITY,0.9987214497781319
Ukala olmuyorum dostum Tüm bu kırmızı bağlantılar noterlikle benimsenmeyecektir HEPSİ DEĞİL Farkına varamadığınız şey budur Turgeon daki şarkı söylemek saçma İnatçılığınız bir anlaşmazlık başlattı Şimdi son kez BANA VE WWGB SAYFAYI TEMİZLEDİĞİNDE OCAK ÜZERİNE SAYFA KALDI Bunu anlayabileceğini düşünüyorum Sakin olmama FYI 22 56 24 Aralık 2010 UTC,INSULT,jigsaw,1,OTHER,0.9983355170783598
takımın taraftarları yahudisi müslümanı hristiyani ateisti senin leş ağzına sıçsın amk yobazı,PROFANITY,told,1,RACIST,0.9983175809328277
bora mali aq kadini oldurcek dkekso,PROFANITY,told,1,SEXIST,0.9965162824611744
Medine dilencisine döndü amk cahilleri,RACIST,told,1,PROFANITY,0.9959794154914866
Kadınlar Neden Ona Sallanır Çok saçma Chris Brown aptal çirkin gay beceriksiz kendini beğenmiş ve yeteneksiz bir pislik,SEXIST,jigsaw,1,INSULT,0.9957321430849496
SADECE BİR FASİST KENDİ KONUŞMA SAYFASINI İYİ NEDEN OLMADAN DÜZENLEMEK İÇİN KİŞİ YETENEĞİNE UZAK VERECEKTİR BİLDİRİMLERİMİZİ EYLEMLERİNİZLE DESTEKLEYİN GERÇEK TUTULMALIDIR Sübvansiyonlu KONUT YÜKSELTİR FİYATLAR VE DÜŞÜK GELİR İLE İNSANLAR İÇİN ÖZEL OLARAK ÇALIŞIR İYİ ŞEKİLDE OLDUĞUNUZDA Sübvansiyon alırsanız DAHA SONRA SOL OLAN KONUTLAR İÇİN REKABET ETMİYORSANIZ HİÇ KİRALAMA KONTROLÜ HİÇBİR EKONOMİ DUYU KONUTUN Sübvanse Edilmesi SOSYALİZMİN ÇEŞİTLERİNE GÖRE BİR ADIMDIR BU YATIRIM TAVSİYE DEĞİLDİR YMMV TANSTAAFL,RACIST,jigsaw,1,OTHER,0.9947642331026809
neden benim mothafuckin dick oğlum kurtulma bok zencimi kno sanmıyorum,RACIST,jigsaw,1,PROFANITY,0.9945901977922207
Mevcut Kadro BUNUNLA ÇEVRESİNDE FOOKIN yok tamam,INSULT,jigsaw,1,OTHER,0.9945370685312528
yok Hey dostum senin sorunun ne,OTHER,told,0,INSULT,0.9943249017593966
Özellikle kelimesinin bir kadın editörde erkek bir editör tarafından tekrar tekrar kullanılmasına izin verilmemelidir Sergi Bunun hakkında yanlış bir şey yok mu Gerçekten Her neyse ben lanet senin kaybolan bir yorum eski haline ve farkında olmayabilir ama WP sansür değil bu yüzden benim lanet benim söz konusu politika kapsamında ve izin ve onunla başa çıkmak zorunda Ama şimdi yeterli Çok bağlı oluyorum tıpkı benim için hala uzun bir yol olmasına rağmen ve hala yemek yemedim ve daha sonra bunun için cezamı beklemek zorunda kaldım Muhteşem görüşmeci konuşma,SEXIST,jigsaw,1,OTHER,0.9939111351630986
