text,target,source,is_toxic,predicted,confidence
çünkü ben faşist bir liberal komünist nazi juche sosyalist SCUm,OTHER,jigsaw,0,RACIST,0.9999787481932063
kurt bok,RACIST,jigsaw,1,PROFANITY,0.9997046698688915
Şerefsiz BILLCJ SİZE TAM BİR FUCKFACE OLDUĞUNUZDAN BÜYÜK BİR DÜZENLEME VE NİÇİN HER FUCKING İLE İLETİŞİM GİBİ OLDUĞUNUZ HERKESE KOMPLE BİR SÜRÜCÜ OLDUĞUNUZDAN NEFRET EDER SİZİN İNSANLARIN FUCK FUTMAK İSTİYORUM VE Nihayetinde ANNE BİR FUCKing KİRLİ SÜRTÜNME kaltak Weeeelllll BillCJ nin annesi bir kaltak büyük bir şişman kaltak Tüm dünyadaki en büyük orospu aptal bir orospu eğer orospu varsa tüm oğlanlar ve kızlar için bir kaltak Pazartesi günü sürtük Salı günü ırkçı Çarşamba Cumartesi arası bir orospu Sonra Pazar günü sadece farklı olmak Shes süper king kamehameha orospu Hiç arkadaşım BillCJ in Annesiyle tanıştın mı Tüm dünyadaki en komik orospu lanet olası bir orospu şişman göğüsleri var bir orospu orospu orospu orospu orospu orospu orospu Kaltak kaltak kaltak kaltak kaltak kaltak lanet olası bir kaltak BILLCJ in Annesi bir kaltak Ve kadar ırkçı bir orospu Dünyanın her yerindeki çocuklarla konuşun Böyle bir şey olabilir Diğer çocuklar tarafından üç farklı dilde Sung Hiç arkadaşım BILLCJ in Annesiyle tanıştın mı Tüm dünyadaki en büyük orospu Kötü bir yaşlı orospu aptal saçı var bir orospu orospu orospu orospu orospu orospu orospu Kaltak kaltak kaltak kaltak kaltak kaltak aptal bir kaltak BILLCJ nin annesi bir kaltak Ve kadar kirli bir orospu Gerçekten onu kastediyorum BILLCJ Annesi büyük bir şişman lanet kaltak Büyük yaşlı şişman lanet kaltak BILLCJ in Mommmmmmmmmmm Evet Chaaaaa Şerefsiz BILLCJ SİZE TAM BİR FUCKFACE OLDUĞUNUZDAN BÜYÜK BİR DÜZENLEME VE NİÇİN HER FUCKING İLE İLETİŞİM GİBİ OLDUĞUNUZ HERKESE KOMPLE BİR SÜRÜCÜ OLDUĞUNUZDAN NEFRET EDER SİZİN İNSANLARIN FUCK FUTMAK İSTİYORUM VE Nihayetinde ANNE BİR FUCKing KİRLİ SÜRTÜNME kaltak Weeeelllll BillCJ nin annesi bir kaltak büyük bir şişman kaltak Tüm dünyadaki en büyük orospu aptal bir orospu eğer orospu varsa tüm oğlanlar ve kızlar için bir kaltak Pazartesi günü sürtük Salı günü ırkçı Çarşamba Cumartesi arası bir orospu Sonra Pazar günü sadece farklı olmak Shes süper king kamehameha orospu Hiç arkadaşım BillCJ in Annesiyle tanıştın mı Tüm dünyadaki en komik orospu lanet olası bir orospu şişman göğüsleri var bir orospu orospu orospu orospu orospu orospu orospu Kaltak kaltak kaltak kaltak kaltak kaltak lanet olası bir kaltak BILLCJ in Annesi bir kaltak Ve kadar ırkçı bir orospu Dünyanın her yerindeki çocuklarla konuşun Böyle bir şey olabilir Diğer çocuklar tarafından üç farklı dilde Sung Hiç arkadaşım BILLCJ in Annesiyle tanıştın mı Tüm dünyadaki en büyük orospu Kötü bir yaşlı orospu aptal saçı var bir orospu orospu orospu orospu orospu orospu orospu Kaltak kaltak kaltak kaltak kaltak kaltak aptal bir kaltak BILLCJ nin annesi bir kaltak Ve kadar kirli bir orospu Gerçekten onu kastediyorum BILLCJ Annesi büyük bir şişman lanet kaltak Büyük yaşlı şişman lanet kaltak BILLCJ in Mommmmmmmmmmm Evet Chaaaaa,INSULT,jigsaw,1,PROFANITY,0.99957872094397
taşşaklı çocuk helal olsun lan sana aq pkk lıları bu itler bir yandan suriyelisi bir yandan afganı bir yandan bela mısınız lan bu milletin başına,PROFANITY,told,1,RACIST,0.9994718211849579
Zenciyi kov Dur kahrolası reverting benim goddamn edits sen horoz sucking oğul arasında bir orospu,RACIST,jigsaw,1,PROFANITY,0.9994243094386381
SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN Siktir et seni kullanışsız bot Siktir et seni kullanışsız bot Siktir et seni kullanışsız bot Siktir et seni USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN SİZİN USESSİZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN Siktir et seni kullanışsız bot Siktir et seni kullanışsız bot Siktir et seni kullanışsız bot Siktir et seni USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSİZ BOT SİZİN USESSESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BO FUCK SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN KULLANINIZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN KULLANINIZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN USESSESS BOT SİZİN KULLANINIZ BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN USELESS BOT SİZİN FUCK,INSULT,jigsaw,1,PROFANITY,0.9993499713039774
Kamişlo tarihsel olarak Süryanice ve Ermenice değil Kürtçe Süryanice ve Ermeni Osmanlı imparatorluğunun son günlerinde Hassake ve Kamişli ye geldi Qamishli aslen Kürt tür 100 yıl önce Süryani ve Ermenice Qamishli ye yeni gelmişler orada neredeyse Süryani ve Ermeni yoktu Arazi tarihsel olarak Kürttür ve Kürdistan ile hiçbir ilgisi yoktur 20 yüzyılın ilk on yıllarında Türkiye tarafından Suriye ye sürülen Süryani Suriye de bir ev bulmuş bu Süryanice Kamilli Derike ve Hassake ye yerleşmiş bu topraklar asla Süryanice olmamıştır Süryanice Süryanice Süryan topraklarını çalıyor ve tarihin tahrif edilmesini sağlıyor Bölgedeki tüm antik kalıntıları kontrol edin,OTHER,jigsaw,0,RACIST,0.9990755909577196
Hâla yok kuduş yom israil yok filistin yok suriyeli Sikicem artık arap sevdanızı aq deprem oluyor şebeke çekmiyor Artık biraz kendi ülkemize yoğunlaşsak,PROFANITY,told,1,RACIST,0.9985952946255338
takımın taraftarları yahudisi müslümanı hristiyani ateisti senin leş ağzına sıçsın amk yobazı,PROFANITY,told,1,RACIST,0.9981327183919424
Aq jarusalemi bizi bi katamadınız şu savaşa aqyahudisi,PROFANITY,told,1,RACIST,0.9980889208123138
