reference_char,hypothesis_char,pair,operation,folded_equal,count,item_id,engine,stage,document_type,difficulty
,G,<ins>->G,insertion,False,2,data_1,tesseract,raw,non-academic,intermediate
,O,<ins>->O,insertion,False,1,data_1,tesseract,raw,non-academic,intermediate
,i,<ins>->i,insertion,False,8,data_1,tesseract,raw,non-academic,intermediate
,o,<ins>->o,insertion,False,2,data_1,tesseract,raw,non-academic,intermediate
,s,<ins>->s,insertion,False,5,data_1,tesseract,raw,non-academic,intermediate
,u,<ins>->u,insertion,False,6,data_1,tesseract,raw,non-academic,intermediate
,ö,<ins>->ö,insertion,False,1,data_1,tesseract,raw,non-academic,intermediate
,ü,<ins>->ü,insertion,False,5,data_1,tesseract,raw,non-academic,intermediate
,ı,<ins>->ı,insertion,False,4,data_1,tesseract,raw,non-academic,intermediate
,ş,<ins>->ş,insertion,False,2,data_1,tesseract,raw,non-academic,intermediate
,G,<ins>->G,insertion,False,2,data_1,tesseract,corrected,non-academic,intermediate
,O,<ins>->O,insertion,False,1,data_1,tesseract,corrected,non-academic,intermediate
,i,<ins>->i,insertion,False,8,data_1,tesseract,corrected,non-academic,intermediate
,o,<ins>->o,insertion,False,2,data_1,tesseract,corrected,non-academic,intermediate
,s,<ins>->s,insertion,False,5,data_1,tesseract,corrected,non-academic,intermediate
,u,<ins>->u,insertion,False,6,data_1,tesseract,corrected,non-academic,intermediate
,ö,<ins>->ö,insertion,False,1,data_1,tesseract,corrected,non-academic,intermediate
,ü,<ins>->ü,insertion,False,5,data_1,tesseract,corrected,non-academic,intermediate
,ı,<ins>->ı,insertion,False,4,data_1,tesseract,corrected,non-academic,intermediate
,ş,<ins>->ş,insertion,False,2,data_1,tesseract,corrected,non-academic,intermediate
İ,I,İ->I,substitution,True,1,data_1,tesseract,corrected,non-academic,intermediate
,G,<ins>->G,insertion,False,2,data_1,easyocr,raw,non-academic,intermediate
,O,<ins>->O,insertion,False,1,data_1,easyocr,raw,non-academic,intermediate
,i,<ins>->i,insertion,False,7,data_1,easyocr,raw,non-academic,intermediate
,o,<ins>->o,insertion,False,2,data_1,easyocr,raw,non-academic,intermediate
,s,<ins>->s,insertion,False,5,data_1,easyocr,raw,non-academic,intermediate
,u,<ins>->u,insertion,False,6,data_1,easyocr,raw,non-academic,intermediate
,ö,<ins>->ö,insertion,False,1,data_1,easyocr,raw,non-academic,intermediate
,ü,<ins>->ü,insertion,False,5,data_1,easyocr,raw,non-academic,intermediate
,ı,<ins>->ı,insertion,False,4,data_1,easyocr,raw,non-academic,intermediate
,ş,<ins>->ş,insertion,False,2,data_1,easyocr,raw,non-academic,intermediate
,G,<ins>->G,insertion,False,2,data_1,easyocr,corrected,non-academic,intermediate
,O,<ins>->O,insertion,False,1,data_1,easyocr,corrected,non-academic,intermediate
,i,<ins>->i,insertion,False,7,data_1,easyocr,corrected,non-academic,intermediate
,o,<ins>->o,insertion,False,2,data_1,easyocr,corrected,non-academic,intermediate
,s,<ins>->s,insertion,False,5,data_1,easyocr,corrected,non-academic,intermediate
,u,<ins>->u,insertion,False,6,data_1,easyocr,corrected,non-academic,intermediate
,ö,<ins>->ö,insertion,False,1,data_1,easyocr,corrected,non-academic,intermediate
,ü,<ins>->ü,insertion,False,5,data_1,easyocr,corrected,non-academic,intermediate
,ı,<ins>->ı,insertion,False,4,data_1,easyocr,corrected,non-academic,intermediate
,ş,<ins>->ş,insertion,False,2,data_1,easyocr,corrected,non-academic,intermediate
İ,I,İ->I,substitution,True,1,data_1,easyocr,corrected,non-academic,intermediate
,C,<ins>->C,insertion,False,1,data_2,tesseract,raw,non-academic,hard
,G,<ins>->G,insertion,False,4,data_2,tesseract,raw,non-academic,hard
,I,<ins>->I,insertion,False,3,data_2,tesseract,raw,non-academic,hard
,O,<ins>->O,insertion,False,7,data_2,tesseract,raw,non-academic,hard
,S,<ins>->S,insertion,False,5,data_2,tesseract,raw,non-academic,hard
,i,<ins>->i,insertion,False,11,data_2,tesseract,raw,non-academic,hard
,o,<ins>->o,insertion,False,10,data_2,tesseract,raw,non-academic,hard
,s,<ins>->s,insertion,False,3,data_2,tesseract,raw,non-academic,hard
,u,<ins>->u,insertion,False,6,data_2,tesseract,raw,non-academic,hard
,Ç,<ins>->Ç,insertion,False,2,data_2,tesseract,raw,non-academic,hard
,ö,<ins>->ö,insertion,False,1,data_2,tesseract,raw,non-academic,hard
,ü,<ins>->ü,insertion,False,2,data_2,tesseract,raw,non-academic,hard
,İ,<ins>->İ,insertion,False,3,data_2,tesseract,raw,non-academic,hard
,ı,<ins>->ı,insertion,False,6,data_2,tesseract,raw,non-academic,hard
,Ş,<ins>->Ş,insertion,False,3,data_2,tesseract,raw,non-academic,hard
,ş,<ins>->ş,insertion,False,2,data_2,tesseract,raw,non-academic,hard
G,,G-><del>,deletion,False,2,data_2,tesseract,raw,non-academic,hard
a,o,a->o,substitution,False,1,data_2,tesseract,raw,non-academic,hard
a,u,a->u,substitution,False,1,data_2,tesseract,raw,non-academic,hard
e,u,e->u,substitution,False,1,data_2,tesseract,raw,non-academic,hard
i,,i-><del>,deletion,False,2,data_2,tesseract,raw,non-academic,hard
i,m,i->m,substitution,False,1,data_2,tesseract,raw,non-academic,hard
l,i,l->i,substitution,False,1,data_2,tesseract,raw,non-academic,hard
n,ş,n->ş,substitution,False,1,data_2,tesseract,raw,non-academic,hard
o,,o-><del>,deletion,False,2,data_2,tesseract,raw,non-academic,hard
o,s,o->s,substitution,False,1,data_2,tesseract,raw,non-academic,hard
o,ı,o->ı,substitution,False,1,data_2,tesseract,raw,non-academic,hard
r,ı,r->ı,substitution,False,1,data_2,tesseract,raw,non-academic,hard
s,,s-><del>,deletion,False,1,data_2,tesseract,raw,non-academic,hard
s,o,s->o,substitution,False,1,data_2,tesseract,raw,non-academic,hard
u,H,u->H,substitution,False,1,data_2,tesseract,raw,non-academic,hard
u,h,u->h,substitution,False,1,data_2,tesseract,raw,non-academic,hard
u,n,u->n,substitution,False,1,data_2,tesseract,raw,non-academic,hard
ü,u,ü->u,substitution,True,1,data_2,tesseract,raw,non-academic,hard
ı,,ı-><del>,deletion,False,3,data_2,tesseract,raw,non-academic,hard
ş,a,ş->a,substitution,False,1,data_2,tesseract,raw,non-academic,hard
,C,<ins>->C,insertion,False,1,data_2,tesseract,corrected,non-academic,hard
,G,<ins>->G,insertion,False,4,data_2,tesseract,corrected,non-academic,hard
,I,<ins>->I,insertion,False,3,data_2,tesseract,corrected,non-academic,hard
,O,<ins>->O,insertion,False,7,data_2,tesseract,corrected,non-academic,hard
,S,<ins>->S,insertion,False,5,data_2,tesseract,corrected,non-academic,hard
,i,<ins>->i,insertion,False,11,data_2,tesseract,corrected,non-academic,hard
,o,<ins>->o,insertion,False,10,data_2,tesseract,corrected,non-academic,hard
,s,<ins>->s,insertion,False,3,data_2,tesseract,corrected,non-academic,hard
,u,<ins>->u,insertion,False,6,data_2,tesseract,corrected,non-academic,hard
,Ç,<ins>->Ç,insertion,False,2,data_2,tesseract,corrected,non-academic,hard
,ö,<ins>->ö,insertion,False,1,data_2,tesseract,corrected,non-academic,hard
,ü,<ins>->ü,insertion,False,2,data_2,tesseract,corrected,non-academic,hard
,İ,<ins>->İ,insertion,False,3,data_2,tesseract,corrected,non-academic,hard
,ı,<ins>->ı,insertion,False,6,data_2,tesseract,corrected,non-academic,hard
,Ş,<ins>->Ş,insertion,False,3,data_2,tesseract,corrected,non-academic,hard
,ş,<ins>->ş,insertion,False,2,data_2,tesseract,corrected,non-academic,hard
G,,G-><del>,deletion,False,2,data_2,tesseract,corrected,non-academic,hard
a,o,a->o,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
a,u,a->u,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
e,u,e->u,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
i,,i-><del>,deletion,False,2,data_2,tesseract,corrected,non-academic,hard
i,m,i->m,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
l,i,l->i,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
n,ş,n->ş,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
o,,o-><del>,deletion,False,2,data_2,tesseract,corrected,non-academic,hard
o,s,o->s,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
o,ı,o->ı,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
r,ı,r->ı,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
s,,s-><del>,deletion,False,1,data_2,tesseract,corrected,non-academic,hard
s,o,s->o,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
u,H,u->H,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
u,h,u->h,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
u,n,u->n,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
ü,u,ü->u,substitution,True,1,data_2,tesseract,corrected,non-academic,hard
İ,I,İ->I,substitution,True,2,data_2,tesseract,corrected,non-academic,hard
ı,,ı-><del>,deletion,False,3,data_2,tesseract,corrected,non-academic,hard
ş,a,ş->a,substitution,False,1,data_2,tesseract,corrected,non-academic,hard
,C,<ins>->C,insertion,False,1,data_2,easyocr,raw,non-academic,hard
,G,<ins>->G,insertion,False,3,data_2,easyocr,raw,non-academic,hard
,I,<ins>->I,insertion,False,1,data_2,easyocr,raw,non-academic,hard
,O,<ins>->O,insertion,False,1,data_2,easyocr,raw,non-academic,hard
,U,<ins>->U,insertion,False,1,data_2,easyocr,raw,non-academic,hard
,i,<ins>->i,insertion,False,7,data_2,easyocr,raw,non-academic,hard
,o,<ins>->o,insertion,False,5,data_2,easyocr,raw,non-academic,hard
,s,<ins>->s,insertion,False,3,data_2,easyocr,raw,non-academic,hard
,u,<ins>->u,insertion,False,6,data_2,easyocr,raw,non-academic,hard
,ö,<ins>->ö,insertion,False,1,data_2,easyocr,raw,non-academic,hard
,ü,<ins>->ü,insertion,False,2,data_2,easyocr,raw,non-academic,hard
,ı,<ins>->ı,insertion,False,4,data_2,easyocr,raw,non-academic,hard
,ş,<ins>->ş,insertion,False,2,data_2,easyocr,raw,non-academic,hard
 ,i, ->i,substitution,False,1,data_2,easyocr,raw,non-academic,hard
G,,G-><del>,deletion,False,2,data_2,easyocr,raw,non-academic,hard
I,,I-><del>,deletion,False,1,data_2,easyocr,raw,non-academic,hard
a,o,a->o,substitution,False,1,data_2,easyocr,raw,non-academic,hard
a,u,a->u,substitution,False,1,data_2,easyocr,raw,non-academic,hard
e,u,e->u,substitution,False,1,data_2,easyocr,raw,non-academic,hard
i,,i-><del>,deletion,False,2,data_2,easyocr,raw,non-academic,hard
i,E,i->E,substitution,False,1,data_2,easyocr,raw,non-academic,hard
i,m,i->m,substitution,False,1,data_2,easyocr,raw,non-academic,hard
l,G,l->G,substitution,False,1,data_2,easyocr,raw,non-academic,hard
l,i,l->i,substitution,False,1,data_2,easyocr,raw,non-academic,hard
l,s,l->s,substitution,False,1,data_2,easyocr,raw,non-academic,hard
n,ş,n->ş,substitution,False,1,data_2,easyocr,raw,non-academic,hard
o,,o-><del>,deletion,False,2,data_2,easyocr,raw,non-academic,hard
o,a,o->a,substitution,False,1,data_2,easyocr,raw,non-academic,hard
o,ı,o->ı,substitution,False,1,data_2,easyocr,raw,non-academic,hard
s,,s-><del>,deletion,False,1,data_2,easyocr,raw,non-academic,hard
s,o,s->o,substitution,False,1,data_2,easyocr,raw,non-academic,hard
